	('Emi219', 'Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374', 'Emi379')	('Emi219', 'Emi370', 'Emi374', 'Emihu1')	('Emi219', 'Emi370', 'Emi379', 'Emihu1')	('Emi219', 'Emi374', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374')	('Emi219', 'Emi370', 'Emi379')	('Emi219', 'Emi370', 'Emihu1')	('Emi219', 'Emi374', 'Emi379')	('Emi219', 'Emi374', 'Emihu1')	('Emi219', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379')	('Emi370', 'Emi374', 'Emihu1')	('Emi370', 'Emi379', 'Emihu1')	('Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370')	('Emi219', 'Emi374')	('Emi219', 'Emi379')	('Emi219', 'Emihu1')	('Emi370', 'Emi374')	('Emi370', 'Emi379')	('Emi370', 'Emihu1')	('Emi374', 'Emi379')	('Emi374', 'Emihu1')	('Emi379', 'Emihu1')	('Emi219',)	('Emi370',)	('Emi374',)	('Emi379',)	('Emihu1',)
Sterol biosynthesis	286.77	0.0	0.0	206.21	46.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.83	26.78	0.0	0.0	0.0	0.0	124.1	0.0	0.0	0.0	37.28	0.0
Glycosaminoglycan metabolism	31.889999999999997	0.625	0.0	14.45	24.89	4.58	0.0	0.0	1.15	3.21	0.0	0.0	0.0	0.0	2.62	0.0	0.0	0.0	14.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.31	0.0	0.0	0.0	18.25
Purine metabolism	266.76	0.0	7.12	17.23	34.05	0.0	0.0	0.0	3.02	0.0	0.0	23.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.35	14.05	39.86	0.0	0.0	12.76
Branched-chain amino acid metabolism	725.47	1.59	5.79	20.75	0.0	0.0	0.0	0.0	8.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.69	0.0	0.0	3.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.86	0.0	2.92	22.84
Spliceosome	1654.8300000000002	99.84	70.17	84.39	1.13	0.0	1.03	6.41	6.21	34.41	0.0	0.0	0.0	21.509999999999998	2.87	49.95	0.0	737.54	0.0	0.0	0.0	0.0	30.3	0.0	9.95	25.02	0.0	5.05	22.47	30.89	66.85000000000001
Phosphate and amino acid transport system	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ribosome	6573.910000000002	1689.3200000000002	597.4300000000001	560.61	1244.29	0.0	97.97	137.55	25.13	3.99	0.0	0.0	0.0	7.25	168.35	3.56	324.1	0.0	0.0	38.15	0.0	0.0	0.0	318.08	166.18	66.00999999999999	526.8	475.12000000000006	0.0	0.0	2895.395
Mineral and organic ion transport system	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Repair system	118.515	13.600000000000001	33.45	68.535	0.0	0.0	0.0	11.54	40.540000000000006	0.0	0.0	0.0	0.0	0.0	8.1	0.0	26.64	0.0	0.0	0.0	45.86	6.79	13.67	0.0	8.49	0.0	15.36	25.62	0.0	0.0	7.42
Sulfur metabolism	314.47999999999996	9.71	21.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.2	0.0	0.0	98.19
Aromatics degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Polyamine biosynthesis	95.76	0.0	0.0	0.0	8.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.48	0.0	0.0	0.0	0.0	0.0	8.78	0.0
Phenylpropanoid and flavonoid biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Phosphotransferase system (PTS)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Other terpenoid biosynthesis	118.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Methane metabolism	33.92	31.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.62	2.15
Carbon fixation	149.98000000000002	0.0	6.86	0.0	0.0	38.43	2.395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.63	0.0	0.0	0.5	1.04	13.03
ABC-2 type and other transport systems	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DNA polymerase	28.165	0.0	7.05	0.0	9.81	0.0	0.0	0.0	9.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Replication system	44.31	0.0	25.51	2.34	0.0	0.0	0.0	0.0	41.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.72	0.0	0.0
Other carbohydrate metabolism	1297.11	149.05	6.56	11.129999999999999	338.46	215.75	2.395	0.0	6.55	11.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.08	12.6	427.61	0.0
Two-component regulatory system	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Proteasome	1163.295	52.8	0.0	18.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.55	18.24	0.0	0.0	0.0	0.0	11.74
Pyrimidine metabolism	175.06	15.25	9.82	3.41	27.74	0.0	0.0	4.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.1	0.0	2.02	6.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.979999999999997
Photosynthesis	0.0	875.07	0.0	0.0	14.4	0.0	0.0	0.0	0.0	88.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.28	62.82
Fatty acid metabolism	2178.37	0.0	0.0	13.1	12.51	0.0	0.0	7.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.94	18.77
Nitrogen metabolism	16.6	55.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.84	0.0	0.0	0.0
Aromatic amino acid metabolism	184.57999999999998	4.24	0.0	0.0	0.7	0.0	0.0	0.0	1.52	0.0	0.0	0.0	0.0	0.0	9.15	0.0	5.36	0.0	0.0	0.0	0.0	2.35	104.56	0.0	0.0	5.88	0.0	0.0	0.0	0.0	9.79
Bacterial secretion system	60.57	3.3	0.0	0.0	0.0	0.0	0.0	0.0	5.97	0.0	0.0	0.0	0.0	0.0	0.0	13.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.96
