	('Emi219', 'Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374', 'Emi379')	('Emi219', 'Emi370', 'Emi374', 'Emihu1')	('Emi219', 'Emi370', 'Emi379', 'Emihu1')	('Emi219', 'Emi374', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374')	('Emi219', 'Emi370', 'Emi379')	('Emi219', 'Emi370', 'Emihu1')	('Emi219', 'Emi374', 'Emi379')	('Emi219', 'Emi374', 'Emihu1')	('Emi219', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379')	('Emi370', 'Emi374', 'Emihu1')	('Emi370', 'Emi379', 'Emihu1')	('Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370')	('Emi219', 'Emi374')	('Emi219', 'Emi379')	('Emi219', 'Emihu1')	('Emi370', 'Emi374')	('Emi370', 'Emi379')	('Emi370', 'Emihu1')	('Emi374', 'Emi379')	('Emi374', 'Emihu1')	('Emi379', 'Emihu1')	('Emi219',)	('Emi370',)	('Emi374',)	('Emi379',)	('Emihu1',)
Sterol biosynthesis	0.009459743197778559	0.0	0.0	0.10742225450719085	0.020734766190679148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12605981552222117	0.12655500048976392	0.0	0.0	0.0	0.0	0.2125308042715257	0.0	0.0	0.0	0.006222138881549228	0.0
Glycosaminoglycan metabolism	0.0012555766973729482	0.0008555717799044513	0.0	0.012301170927983593	0.004823149206030848	0.0100777702933226	0.0	0.0	0.0034336414454257023	0.014569071441109357	0.0	0.0	0.0	0.0	0.00255453734490309	0.0	0.0	0.0	0.2283357505438724	0.0	0.0	0.0	0.0	0.015029411764705883	0.0	0.0	0.0005731808672226522	0.0	0.0	0.0	0.005970729080099372
Purine metabolism	0.007807250684049082	0.0	0.0012645729034940318	0.0043435240239028325	0.01900368541128689	0.0	0.0	0.0	0.006194289167547966	0.0	0.0	0.07242669993761695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012097677544619524	0.0031524947697245866	0.021590900874192874	0.01893560984470075	0.0	0.0006158349032708779
Branched-chain amino acid metabolism	0.020279996015765266	0.000445877789800137	0.010012645729034937	0.004986234048086666	0.0	0.0	0.0	0.0	0.012924226400582344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012118098576652263	0.0	0.0	0.0072207211404080865	0.0	0.0	0.0	0.0	0.0	0.0	0.018723908329273304	0.002075213848256315	0.0	0.0	0.0015583492534381354
Spliceosome	0.051472814985466686	0.024215132531920525	0.07179309508548858	0.041693944475832606	0.020207085015167853	0.0	0.008174334327378713	0.026614933571654335	0.05728687387548242	0.27739746065180504	0.0	0.0	0.0	0.22385336791995672	0.009691022625902199	0.339894419306184	0.03179112145296304	0.9912231720840247	0.0	0.0	0.0	0.0	0.13257077901317893	0.0	0.11240693497162492	0.0843663654693451	0.0	0.004844575882688957	0.027268186359095448	0.0009688353235654277	0.01209596870940649
Phosphate and amino acid transport system	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ribosome	0.24165820954883568	0.6870603230629704	0.43908396417620854	0.3135468326353203	0.5119164019306923	0.0	0.2361678103013984	0.6129717829389775	0.21577002843055113	0.027265812415891405	0.0	0.0	0.1349981903727832	0.032610244861891055	0.643946151974698	0.14962292609351432	0.47178991266507514	0.0	0.0	0.13495760737911114	0.0	0.0	0.0	0.8042794117647059	0.606289373665851	0.1531065641102233	0.4202179997898337	0.5253183320197544	0.0	0.0	0.7009139298985638
Mineral and organic ion transport system	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Repair system	0.003196433727974263	0.0030674524387297383	0.020943406031839515	0.026922076640928366	0.0	0.0	0.0009747435266413811	0.06933833226161543	0.10233624963946764	0.0	0.0	0.0	0.0	0.0	0.011840077852566702	0.0	0.11335408419207642	0.0	0.0	0.014441442280816171	0.44940738564012145	0.1759349593495935	0.08536108841604206	0.0	0.017597750820013535	0.0	0.024866496623009392	0.02049183291274702	0.03358005630732903	0.0024519204816333263	0.006288579352755309
Sulfur metabolism	0.012659091729164912	0.0023367731287431263	0.010892649886534895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025524407262525403	0.0	0.0	0.012722840080477922
Aromatics degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Polyamine biosynthesis	0.002639203723952839	0.001146209396816059	0.0	0.0	0.0014779848309569776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05051470588235294	0.0	0.0	0.0	0.0027476699036146322	0.0	0.0	0.0
Phenylpropanoid and flavonoid biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Phosphotransferase system (PTS)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Other terpenoid biosynthesis	0.004453618592746985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001359722012388578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Methane metabolism	0.0014232281487993072	0.022151488729913613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011847634308703324	0.0015561419598780248
Carbon fixation	0.004101630953121618	0.0	0.003111195800925043	0.0	0.0	0.03905135988662508	0.002123203721397068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004013889926069749	0.0	0.0	0.0	0.001082481695831167	0.0
ABC-2 type and other transport systems	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DNA polymerase	0.0005725075943192692	0.0	0.006333258267361892	0.0	0.004882841646699546	0.0	0.0	0.0	0.03268826656045269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Replication system	0.001573189758828161	0.0	0.012694233201101733	0.0048905748816965135	0.0	0.0	0.0	0.0	0.06363224326662913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008249977335227102	0.0	0.0	0.011972421503773407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015329105778060582	0.08098719462355826	0.0	0.0014237043462713844
Other carbohydrate metabolism	0.03765463660291523	0.04378006319325534	0.0074419249224799465	0.0035633039480331566	0.0806731397149328	0.3037153029892136	0.002123203721397068	0.0	0.005658641102061557	0.012345679012345678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002158981266538656	0.010498991315916965	0.07685496321859958	0.057317547852225634	0.002507485484285725
Two-component regulatory system	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Proteasome	0.041303166391150746	0.020307282164771682	0.0	0.016668609743483963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1889588865170684	0.1568217459487716	0.0	0.0	0.0	0.0	0.0031829173136795914
Pyrimidine metabolism	0.0032565389845407877	0.006543431648218765	0.0038595457931297305	0.0028309134553585564	0.0068503044911398525	0.0	0.0	0.019225529410482493	0.0027057094589954533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0786618718080445	0.0	0.03226976069615664	0.036616043976521004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007816397804756363	0.002633729906457179	0.0	0.001127927009216554
Photosynthesis	0.0	0.02322766496602808	0.0	0.0	0.0006900446141301559	0.0	0.0	0.0	0.0	0.046047627406237204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03436535343736308
Fatty acid metabolism	0.06574690882585385	0.0	0.0	0.003957898009392533	0.005021328109050927	0.0	0.0	0.01844081392434035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006496049828523391	0.014201114975524048	0.046953046953046945	0.01527691359182201	0.00012140114580608705
Nitrogen metabolism	0.0004197316913408126	0.024030711875406334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002034792078640415	0.005791798928408739	0.0	0.0	0.0
Aromatic amino acid metabolism	0.005324441239724188	0.001176557099786749	0.0	0.0	0.0020844600281509553	0.0	0.0	0.0	0.0038594129846584893	0.0	0.0	0.0	0.0	0.0	0.0411158867893926	0.0	0.008884590976398416	0.0	0.0	0.0	0.0	0.0878048780487805	0.43316400838336117	0.0	0.0	0.0016242252258979915	0.002894563379474393	0.0	0.0	0.00424185084481872	0.00024721687873239547
Bacterial secretion system	0.003154420354655188	0.001342302246780517	0.0	0.0	0.0	0.0	0.0	0.0	0.004518672142180224	0.0	0.0	0.0	0.0	0.0	0.0	0.22737556561085973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0029864681868297413
Saccharide and polyol transport system	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Serine and threonine metabolism	0.00460569092248804	0.0	0.0	0.0	0.005312627219514176	0.0	0.0	0.0	0.016962188740402968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014190355099446007	0.0	0.0
Nucleotide sugar	0.00821451907804165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04142233312538989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02263645445463627	0.0	0.0
Central carbohydrate metabolism	0.05105137461626361	0.0031188100899109056	0.05023645781003688	0.023065816495825366	0.0	0.0855735668483348	0.12208421398033141	0.04941527797456215	0.010630553915037973	0.0	0.0	0.10673736743605738	0.33743515502473154	0.0	0.0	0.0	0.07863165211084586	0.0	0.0	0.0	0.0	0.0	0.0	0.03535294117647059	0.01775394387462904	0.0	0.0027226091193075976	0.05614646526728321	0.013690854599945509	0.0056112896306208795	0.008954989973369003
Metabolic capacity	0.016499395479823382	0.0	0.0	0.0	0.010727925436978513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003080282576157456	0.0	0.0	0.0
Drug resistance	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arginine and proline metabolism	0.002748760128062391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aminoacyl tRNA	0.020299294024562545	0.01013379835352039	0.007029639510107919	0.0	0.0	0.0	0.0	0.001569430972284285	0.0	0.0	0.0	0.010480349344978164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017023471756512767	0.012574205164173279	0.008060121696485331	0.0049436171935596605	0.0
Sugar metabolism	0.002652873146850912	0.0	0.0	0.0020506933794888806	0.0	0.004575237728652535	0.0	0.0	0.020231015396448237	0.08290913346205606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00028199770063413337	0.0	0.0	0.0
ATP synthesis	0.08823592378613263	0.048488626031092386	0.21577424775235154	0.018232039244173007	0.1598778453894156	0.05117617727077883	0.022332242778694614	0.006691879284601048	0.04375832658050515	0.1893394184073489	0.0	0.1784154709918902	0.33924478224152493	0.6526324791197515	0.021693293325764335	0.0	0.0	0.005607417835206405	0.0	0.21783285195192395	0.0	0.0	0.0	0.09058823529411765	0.0	0.17774998133074457	0.006916382464486669	0.060694582028792694	0.3139360639360639	0.022828715028880384	0.0611309951472651
Terpenoid backbone biosynthesis	0.030409641446011857	0.0067511966916334884	0.07124222634122679	0.0023825111129047198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00788604312457817	0.0	0.0	0.0	0.0180169852596987	0.014700033984338282	0.0	0.0	0.001136756183456997
Lipopolysaccharide metabolism	0.0002233342476435071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00857860697943236	0.0024150572310718084	0.0	0.0	0.0
Peptide and nickel transport system	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02840651536671603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Carbohydrate metabolism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Histidine metabolism	0.00015920857257754962	0.0	0.0	0.004762032876859747	0.0	0.0	0.0	0.0	0.009257097336867694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029217384810693754	0.0	0.0	0.0	0.0	0.0
